Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
6.87,0,0,285.8,6.5934,1,27,27
6.885,0,0,285.8,6.9597,1,27,27
6.9,0,0,285.8,6.88644,1,27,27
6.915,0,0,285.8,6.81318,1,27,27
6.93,0,0,285.8,6.52014,1,27,27
6.945,0,0,285.8,6.5934,1,27,27
6.96,0,0,285.8,6.88644,1,27,27
6.975,0,0,285.8,6.52014,1,27,27
6.99,0,0,285.8,6.81318,1,27,27
7.005,0,0,285.8,6.81318,1,27,27
7.02,0,0,285.8,6.88644,1,27,27
7.035,0,0,285.8,7.2039,1,27,27
7.05,0,0,285.8,6.37362,1,27,27
7.065,0,0,285.8,6.5934,1,27,27
7.08,0,0,285.8,7.71672,1,27,27
7.095,0,0,285.8,6.73992,1,27,27
7.11,0,0,285.8,7.2039,1,27,27
7.125,0,0,285.8,7.2039,1,27,27
7.14,0,0,285.8,6.5934,1,27,27
7.155,0,0,285.8,8.32722,1,27,27
7.17,0,0,285.8,7.13064,1,27,27
7.185,0,0,285.8,6.9597,1,27,27
7.2,0,0,285.8,7.2039,1,27,27
7.215,0,0,285.8,7.5702,1,27,27
7.23,0,0,285.8,9.23076,1,27,27
7.245,0,0,285.8,7.64346,1,27,27
7.26,0,0,285.8,7.64346,1,27,27
7.275,0,0,285.8,7.9365,1,27,27
7.29,0,0,285.8,7.35042,1,27,27
7.305,0,0,285.8,7.27716,1,27,27
7.32,0,0,285.8,7.35042,1,27,27
7.335,0,0,285.8,7.86324,1,27,27
7.35,0,0,285.8,7.35042,1,27,27
7.365,0,0,285.8,8.40048,1,27,27
7.38,0,0,285.8,7.13064,1,27,27
7.395,0,0,285.8,7.49694,1,27,27
7.41,0,0,285.8,6.9597,1,27,27
7.425,0,0,285.8,7.13064,1,27,27
7.44,0,0,285.8,6.73992,1,27,27
7.455,0,0,285.8,6.9597,1,27,27
7.47,0,0,285.8,7.2039,1,27,27
7.485,0,0,285.8,6.9597,1,27,27
7.5,0,0,285.8,6.9597,1,27,27
7.515,0,0,285.8,7.71672,1,27,27
7.53,0,0,285.8,7.71672,1,27,27
7.545,0,0,285.8,7.35042,1,27,27
7.56,0,0,285.8,7.13064,1,27,27
7.575,0,0,285.8,7.5702,1,27,27
7.59,0,0,285.8,7.49694,1,27,27
7.605,0,0,285.8,7.2039,1,27,27
7.62,0,0,285.8,6.81318,1,27,27
7.635,0,0,285.8,6.9597,1,27,27
7.65,0,0,285.8,8.00976,1,27,27
7.665,0,0,285.8,6.9597,1,27,27
7.68,0,0,285.8,7.13064,1,27,27
7.695,0,0,285.8,7.5702,1,27,27
7.71,0,0,285.8,8.00976,1,27,27
7.725,0,0,285.8,7.27716,1,27,27
7.74,0,0,285.8,7.86324,1,27,27
7.755,0,0,285.8,8.32722,1,27,27
7.77,0,0,285.8,7.49694,1,27,27
7.785,0,0,285.8,7.27716,1,27,27
7.8,0,0,285.8,7.27716,1,27,27
7.815,0,0,285.8,7.35042,1,27,27
7.83,0,0,285.8,7.49694,1,27,27
7.845,0,0,285.8,7.27716,1,27,27
7.86,0,0,285.8,7.35042,1,27,27
7.875,0,0,285.8,7.49694,1,27,27
7.89,0,0,285.8,7.27716,1,27,27
7.905,0,0,285.8,7.71672,1,27,27
7.92,0,0,285.8,7.35042,1,27,27
7.935,0,0,285.8,7.27716,1,27,27
7.95,0,0,285.8,7.13064,1,27,27
7.965,0,0,285.8,7.64346,1,27,27
7.98,0,0,285.8,7.2039,1,27,27
7.995,0,0,285.8,7.27716,1,27,27
8.01,0,0,285.8,7.64346,1,27,27
8.025,0,0,285.8,7.5702,1,27,27
8.04,0,0,285.8,6.9597,1,27,27
8.055,0,0,285.8,6.9597,1,27,27
8.07,0,0,285.8,7.2039,1,27,27
8.085,0,0,285.8,7.86324,1,27,27
8.1,0,0,285.8,7.2039,1,27,27
8.115,0,0,285.8,6.81318,1,27,27
8.13,0,0,285.8,6.81318,1,27,27
8.145,0,0,285.8,7.2039,1,27,27
8.16,0,0,285.8,7.71672,1,27,27
8.175,0,0,285.8,7.5702,1,27,27
8.19,0,0,285.8,7.86324,1,27,27
8.205,0,0,285.8,8.84004,1,27,27
8.22,0,0,285.8,7.71672,1,27,27
8.235,0,0,285.8,7.5702,1,27,27
8.25,0,0,285.8,7.49694,1,27,27
8.265,0,0,285.8,7.35042,1,27,27
8.28,0,0,285.8,7.64346,1,27,27
8.295,0,0,285.8,8.10744,1,27,27
8.31,0,0,285.8,7.27716,1,27,27
8.325,0,0,285.8,7.27716,1,27,27
8.34,0,0,285.8,8.547,1,27,27
8.355,0,0,285.8,7.5702,1,27,27
8.37,0,0,285.8,7.86324,1,27,27
8.385,0,0,285.8,8.40048,1,27,27
8.4,0,0,285.8,7.27716,1,27,27
8.415,0,0,285.8,8.1807,1,27,27
8.43,0,0,285.8,7.35042,1,27,27
8.445,0,0,285.8,7.2039,1,27,27
8.46,0,0,285.8,7.2039,1,27,27
8.475,0,0,285.8,7.27716,1,27,27
8.49,0,0,285.8,6.81318,1,27,27
8.505,0,0,285.8,6.9597,1,27,27
8.52,0,0,285.8,8.47374,1,27,27
8.535,0,0,285.8,7.27716,1,27,27
8.55,0,0,285.8,7.27716,1,27,27
8.565,0,0,285.8,6.81318,1,27,27
8.58,0,0,285.8,7.35042,1,27,27
8.595,0,0,285.8,7.35042,1,27,27
8.61,0,0,285.8,7.2039,1,27,27
8.625,0,0,285.8,6.5934,1,27,27
8.64,0,0,285.8,8.547,1,27,27
8.655,0,0,285.8,7.13064,1,27,27
8.67,0,0,285.8,8.47374,1,27,27
8.685,0,0,285.8,8.40048,1,27,27
8.7,0,0,285.8,6.73992,1,27,27
8.715,0,0,285.8,7.13064,1,27,27
8.73,0,0,285.8,7.13064,1,27,27
8.745,0,0,285.8,7.27716,1,27,27
