Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
5.91,0,0,287.2,7.9365,1,25,25
5.925,0,0,287.2,6.37362,1,32,32
5.94,0,0,287.2,7.35042,1,25,25
5.955,0,0,287.2,6.44688,1,25,25
5.97,0,0,287.2,6.44688,1,29,29
5.985,0,0,287.2,7.49694,1,25,25
6,0,0,287.2,7.49694,1,30,30
6.015,0,0,287.2,6.08058,1,30,30
6.03,0,0,287.2,7.27716,1,24,24
6.045,0,0,287.2,6.44688,1,25,25
6.06,0,0,287.2,6.52014,1,25,25
6.075,0,0,287.2,6.44688,1,26,26
6.09,0,0,287.2,7.9365,1,25,25
6.105,0,0,287.2,6.88644,1,27,27
6.12,0,0,287.2,7.35042,1,27,27
6.135,0,0,287.2,6.15384,1,29,29
6.15,0,0,287.2,6.37362,1,24,24
6.165,0,0,287.2,6.5934,1,26,26
6.18,0,0,287.2,6.08058,1,26,26
6.195,0,0,287.2,6.37362,1,24,24
6.21,0,0,287.2,7.13064,1,25,25
6.225,0,0,287.2,6.44688,1,25,25
6.24,0,0,287.2,5.90964,1,28,28
6.255,0,0,287.2,5.90964,1,23,23
6.27,0,0,287.2,6.73992,1,27,27
6.285,0,0,287.2,6.44688,1,27,27
6.3,0,0,287.2,6.44688,1,25,25
6.315,0,0,287.2,7.27716,1,29,29
6.33,0,0,287.2,6.37362,1,29,29
6.345,0,0,287.2,6.5934,1,25,25
6.36,0,0,287.2,6.81318,1,26,26
6.375,0,0,287.2,6.37362,1,25,25
6.39,0,0,287.2,6.08058,1,25,25
6.405,0,0,287.2,6.44688,1,24,24
6.42,0,0,287.2,7.13064,1,25,25
6.435,0,0,287.2,6.08058,1,25,25
6.45,0,0,287.2,5.90964,1,24,24
6.465,0,0,287.2,6.30036,1,23,23
6.48,0,0,287.2,6.5934,1,25,25
6.495,0,0,287.2,6.37362,1,25,25
6.51,0,0,287.2,6.73992,1,26,26
6.525,0,0,287.2,6.73992,1,27,27
6.54,0,0,287.2,6.37362,1,27,27
6.555,0,0,287.2,6.37362,1,25,25
6.57,0,0,287.2,6.08058,1,25,25
6.585,0,0,287.2,6.44688,1,25,25
6.6,0,0,287.2,6.5934,1,25,25
6.615,0,0,287.2,6.5934,1,26,26
6.63,0,0,287.2,6.15384,1,26,26
6.645,0,0,287.2,6.44688,1,25,25
6.66,0,0,287.2,6.15384,1,25,25
6.675,0,0,287.2,6.44688,1,24,24
6.69,0,0,287.2,6.52014,1,25,25
6.705,0,0,287.2,6.08058,1,25,25
6.72,0,0,287.2,6.37362,1,24,24
6.735,0,0,287.2,6.15384,1,25,25
6.75,0,0,287.2,6.30036,1,24,24
6.765,0,0,287.2,7.5702,1,24,24
6.78,0,0,287.2,6.08058,1,30,30
6.795,0,0,287.2,6.08058,1,24,24
6.81,0,0,287.2,6.37362,1,24,24
6.825,0,0,287.2,6.15384,1,25,25
6.84,0,0,287.2,5.90964,1,24,24
6.855,0,0,287.2,7.13064,1,28,28
6.87,0,0,287.2,6.30036,1,28,28
6.885,0,0,287.2,6.30036,1,25,25
6.9,0,0,287.2,6.44688,1,25,25
6.915,0,0,287.2,7.27716,1,25,25
6.93,0,0,287.2,6.5934,1,29,29
6.945,0,0,287.2,7.2039,1,26,26
6.96,0,0,287.2,5.68986,1,29,29
6.975,0,0,287.2,5.90964,1,29,29
6.99,0,0,287.2,6.44688,1,23,23
7.005,0,0,287.2,6.08058,1,25,25
7.02,0,0,287.2,6.15384,1,25,25
7.035,0,0,287.2,6.52014,1,24,24
7.05,0,0,287.2,7.64346,1,26,26
7.065,0,0,287.2,7.64346,1,30,30
7.08,0,0,287.2,6.08058,1,30,30
7.095,0,0,287.2,6.08058,1,24,24
7.11,0,0,287.2,6.08058,1,24,24
7.125,0,0,287.2,6.81318,1,27,27
7.14,0,0,287.2,6.08058,1,27,27
7.155,0,0,287.2,6.15384,1,24,24
7.17,0,0,287.2,7.35042,1,24,24
7.185,0,0,287.2,7.35042,1,24,24
7.2,0,0,287.2,6.30036,1,29,29
7.215,0,0,287.2,6.81318,1,25,25
7.23,0,0,287.2,6.44688,1,27,27
7.245,0,0,287.2,6.08058,1,27,27
7.26,0,0,287.2,6.73992,1,24,24
7.275,0,0,287.2,6.52014,1,27,27
7.29,0,0,287.2,6.81318,1,27,27
7.305,0,0,287.2,6.30036,1,26,26
7.32,0,0,287.2,6.30036,1,25,25
7.335,0,0,287.2,6.30036,1,25,25
7.35,0,0,287.2,6.15384,1,25,25
7.365,0,0,287.2,6.08058,1,24,24
7.38,0,0,287.2,6.15384,1,24,24
7.395,0,0,287.2,6.5934,1,26,26
7.41,0,0,287.2,6.81318,1,26,26
7.425,0,0,287.2,5.39682,1,27,27
7.44,0,0,287.2,6.08058,1,24,24
7.455,0,0,287.2,6.30036,1,24,24
7.47,0,0,287.2,5.90964,1,25,25
7.485,0,0,287.2,6.15384,1,23,23
7.5,0,0,287.2,6.30036,1,24,24
7.515,0,0,287.2,6.08058,1,24,24
7.53,0,0,287.2,6.15384,1,24,24
7.545,0,0,287.2,6.52014,1,24,24
7.56,0,0,287.2,5.76312,1,24,24
7.575,0,0,287.2,6.30036,1,26,26
7.59,0,0,287.2,5.76312,1,25,25
7.605,0,0,287.2,5.76312,1,23,23
7.62,0,0,287.2,6.08058,1,23,23
7.635,0,0,287.2,6.08058,1,24,24
7.65,0,0,287.2,6.15384,1,24,24
7.665,0,0,287.2,6.15384,1,24,24
7.68,0,0,287.2,6.30036,1,24,24
7.695,0,0,287.2,6.9597,1,25,25
7.71,0,0,287.2,7.27716,1,29,29
7.725,0,0,287.2,6.5934,1,29,29
7.74,0,0,287.2,6.08058,1,26,26
7.755,0,0,287.2,6.37362,1,24,24
7.77,0,0,287.2,6.15384,1,24,24
7.785,0,0,287.2,5.9829,1,24,24
7.8,0,0,287.2,6.81318,1,24,24
7.815,0,0,287.2,7.49694,1,27,27
7.83,0,0,287.2,6.08058,1,27,27
7.845,0,0,287.2,6.15384,1,30,30
7.86,0,0,287.2,6.30036,1,24,24
7.875,0,0,287.2,6.30036,1,25,25
7.89,0,0,287.2,6.30036,1,25,25
7.905,0,0,287.2,6.08058,1,25,25
7.92,0,0,287.2,6.30036,1,25,25
7.935,0,0,287.2,5.9829,1,25,25
7.95,0,0,287.2,5.68986,1,24,24
7.965,0,0,287.2,6.52014,1,22,22
7.98,0,0,287.2,6.37362,1,25,25
7.995,0,0,287.2,6.88644,1,25,25
8.01,0,0,287.2,5.68986,1,27,27
8.025,0,0,287.2,6.73992,1,22,22
8.04,0,0,287.2,6.88644,1,22,22
8.055,0,0,287.2,6.44688,1,27,27
8.07,0,0,287.2,6.37362,1,25,25
8.085,0,0,287.2,6.15384,1,25,25
8.1,0,0,287.2,6.30036,1,25,25
8.115,0,0,287.2,6.15384,1,25,25
8.13,0,0,287.2,6.15384,1,24,24
8.145,0,0,287.2,6.15384,1,24,24
8.16,0,0,287.2,6.08058,1,24,24
8.175,0,0,287.2,6.08058,1,24,24
8.19,0,0,287.2,6.44688,1,25,25
8.205,0,0,287.2,7.2039,1,25,25
8.22,0,0,287.2,5.76312,1,29,29
8.235,0,0,287.2,6.88644,1,23,23
8.25,0,0,287.2,5.90964,1,23,23
8.265,0,0,287.2,7.2039,1,23,23
8.28,0,0,287.2,6.15384,1,29,29
8.295,0,0,287.2,6.15384,1,24,24
8.31,0,0,287.2,5.90964,1,24,24
8.325,0,0,287.2,5.9829,1,23,23
8.34,0,0,287.2,5.90964,1,24,24
8.355,0,0,287.2,6.88644,1,23,23
8.37,0,0,287.2,6.08058,1,23,23
8.385,0,0,287.2,6.15384,1,24,24
8.4,0,0,287.2,6.37362,1,24,24
8.415,0,0,287.2,6.37362,1,24,24
8.43,0,0,287.2,5.39682,1,25,25
8.445,0,0,287.2,6.15384,1,24,24
8.46,0,0,287.2,7.35042,1,29,29
8.475,0,0,287.2,6.15384,1,29,29
8.49,0,0,287.2,6.15384,1,24,24
8.505,0,0,287.2,6.15384,1,24,24
8.52,0,0,287.2,6.08058,1,24,24
8.535,0,0,287.2,7.13064,1,24,24
8.55,0,0,287.2,5.9829,1,28,28
8.565,0,0,287.2,6.08058,1,24,24
8.58,0,0,287.2,6.08058,1,24,24
8.595,0,0,287.2,6.88644,1,24,24
8.61,0,0,287.2,5.76312,1,27,27
8.625,0,0,287.2,6.08058,1,27,27
8.64,0,0,287.2,5.76312,1,23,23
8.655,0,0,287.2,6.08058,1,23,23
8.67,0,0,287.2,6.08058,1,24,24
8.685,0,0,287.2,6.15384,1,24,24
8.7,0,0,287.2,6.30036,1,24,24
8.715,0,0,287.2,6.08058,1,24,24
8.73,0,0,287.2,6.08058,1,24,24
8.745,0,0,287.2,6.08058,1,24,24
8.76,0,0,287.2,5.9829,1,24,24
8.775,0,0,287.2,5.90964,1,23,23
8.79,0,0,287.2,6.15384,1,23,23
8.805,0,0,287.2,6.15384,1,24,24
8.82,0,0,287.2,5.9829,1,24,24
8.835,0,0,287.2,6.5934,1,24,24
8.85,0,0,287.2,6.30036,1,24,24
8.865,0,0,287.2,6.44688,1,25,25
8.88,0,0,287.2,5.76312,1,25,25
8.895,0,0,287.2,6.08058,1,25,25
8.91,0,0,287.2,5.90964,1,23,23
8.925,0,0,287.2,6.52014,1,23,23
8.94,0,0,287.2,6.52014,1,26,26
8.955,0,0,287.2,6.15384,1,26,26
8.97,0,0,287.2,6.08058,1,24,24
8.985,0,0,287.2,6.30036,1,25,25
9,0,0,287.2,5.9829,1,25,25
9.015,0,0,287.2,6.52014,1,24,24
9.03,0,0,287.2,6.08058,1,26,26
9.045,0,0,287.2,6.15384,1,24,24
9.06,0,0,287.2,6.15384,1,24,24
9.075,0,0,287.2,6.08058,1,24,24
9.09,0,0,287.2,6.08058,1,24,24
9.105,0,0,287.2,6.15384,1,24,24
9.12,0,0,287.2,6.52014,1,24,24
9.135,0,0,287.2,6.15384,1,26,26
9.15,0,0,287.2,5.9829,1,24,24
9.165,0,0,287.2,6.08058,1,24,24
9.18,0,0,287.2,7.27716,1,24,24
9.195,0,0,287.2,7.49694,1,29,29
9.21,0,0,287.2,7.49694,1,30,30
9.225,0,0,287.2,6.9597,1,30,30
9.24,0,0,287.2,6.15384,1,28,28
9.255,0,0,287.2,5.54334,1,22,22
9.27,0,0,287.2,6.08058,1,22,22
9.285,0,0,287.2,6.30036,1,24,24
9.3,0,0,287.2,6.52014,1,25,25
9.315,0,0,287.2,7.35042,1,29,29
9.33,0,0,287.2,7.27716,1,29,29
9.345,0,0,287.2,7.27716,1,29,29
9.36,0,0,287.2,6.30036,1,29,29
9.375,0,0,287.2,5.9829,1,24,24
9.39,0,0,287.2,5.90964,1,24,24
9.405,0,0,287.2,7.13064,1,23,23
9.42,0,0,287.2,5.68986,1,28,28
9.435,0,0,287.2,6.88644,1,28,28
9.45,0,0,287.2,6.30036,1,22,22
9.465,0,0,287.2,5.90964,1,25,25
9.48,0,0,287.2,5.90964,1,23,23
9.495,0,0,287.2,6.44688,1,23,23
9.51,0,0,287.2,6.15384,1,25,25
9.525,0,0,287.2,6.08058,1,24,24
9.54,0,0,287.2,6.52014,1,24,24
9.555,0,0,287.2,6.73992,1,26,26
9.57,0,0,287.2,6.52014,1,27,27
9.585,0,0,287.2,6.15384,1,24,24
9.6,0,0,287.2,6.15384,1,24,24
9.615,0,0,287.2,5.68986,1,24,24
9.63,0,0,287.2,6.08058,1,22,22
9.645,0,0,287.2,5.9829,1,22,22
9.66,0,0,287.2,7.13064,1,24,24
9.675,0,0,287.2,6.08058,1,28,28
9.69,0,0,287.2,6.15384,1,24,24
9.705,0,0,287.2,5.6166,1,24,24
9.72,0,0,287.2,6.30036,1,22,22
9.735,0,0,287.2,6.08058,1,25,25
9.75,0,0,287.2,6.08058,1,25,25
9.765,0,0,287.2,6.15384,1,24,24
9.78,0,0,287.2,5.32356,1,24,24
9.795,0,0,287.2,6.08058,1,24,24
9.81,0,0,287.2,6.08058,1,24,24
9.825,0,0,287.2,6.15384,1,24,24
9.84,0,0,287.2,6.30036,1,24,24
9.855,0,0,287.2,5.90964,1,23,23
9.87,0,0,287.2,5.68986,1,23,23
9.885,0,0,287.2,6.08058,1,22,22
9.9,0,0,287.2,5.6166,1,24,24
9.915,0,0,287.2,5.68986,1,24,24
9.93,0,0,287.2,6.15384,1,22,22
9.945,0,0,287.2,6.52014,1,24,24
9.96,0,0,287.2,5.9829,1,26,26
9.975,0,0,287.2,6.15384,1,26,26
9.99,0,0,287.2,5.90964,1,24,24
10.005,0,0,287.2,5.9829,1,23,23
10.02,0,0,287.2,6.52014,1,24,24
10.035,0,0,287.2,6.52014,1,24,24
10.05,0,0,287.2,7.35042,1,26,26
10.065,0,0,287.2,5.90964,1,23,23
10.08,0,0,287.2,6.30036,1,23,23
10.095,0,0,287.2,6.08058,1,25,25
10.11,0,0,287.2,5.76312,1,24,24
10.125,0,0,287.2,5.9829,1,24,24
10.14,0,0,287.2,5.9829,1,24,24
10.155,0,0,287.2,6.44688,1,24,24
10.17,0,0,287.2,5.76312,1,25,25
10.185,0,0,287.2,6.37362,1,25,25
10.2,0,0,287.2,6.08058,1,25,25
10.215,0,0,287.2,7.2039,1,24,24
10.23,0,0,287.2,5.90964,1,29,29
10.245,0,0,287.2,5.76312,1,29,29
10.26,0,0,287.2,5.68986,1,23,23
10.275,0,0,287.2,6.44688,1,22,22
10.29,0,0,287.2,6.44688,1,25,25
10.305,0,0,287.2,6.81318,1,25,25
10.32,0,0,287.2,6.88644,1,27,27
10.335,0,0,287.2,7.2039,1,29,29
10.35,0,0,287.2,5.6166,1,29,29
10.365,0,0,287.2,6.08058,1,22,22
10.38,0,0,287.2,6.9597,1,24,24
10.395,0,0,287.2,5.68986,1,24,24
10.41,0,0,287.2,6.88644,1,22,22
10.425,0,0,287.2,6.15384,1,27,27
10.44,0,0,287.2,5.76312,1,24,24
10.455,0,0,287.2,5.90964,1,24,24
10.47,0,0,287.2,6.08058,1,23,23
10.485,0,0,287.2,7.27716,1,24,24
