Bus, Main, Main, Main, Main
Node, torque_vector, torque_vector, torque_vector, torque_vector
Message, vehHead, sfs_ang_vel, sfs_ang_vel, sfs_ang_vel
Signal, vehHead, sfs_ang_vel_x, sfs_ang_vel_y, sfs_ang_vel_z
91.605,84.7,-0.0488,-0.0661,0.0817
91.62,84.7,-0.0488,-0.0661,0.0817
91.635,84.7,-0.0233,-0.0934,0.0776
91.65,84.3,-0.0141,-0.0771,0.0767
91.665,84.3,-0.0141,-0.0771,0.0767
91.68,84,-0.0282,-0.0501,0.0967
91.695,84,-0.0163,-0.0693,0.0892
91.71,84,-0.0483,-0.0779,0.1034
91.725,83.7,-0.0483,-0.0779,0.1034
91.74,83.7,-0.0553,-0.0591,0.0998
91.755,83.7,0.0508,-0.0362,0.1087
91.77,83.8,0.0238,-0.0213,0.116
91.785,83.8,0.0238,-0.0213,0.116
91.8,83.8,-0.0559,0.0245,0.1097
91.815,83.8,-0.0559,0.0245,0.1097
91.83,83.8,-0.0016,0.02,0.1123
91.845,83,0.0347,0.0509,0.0991
91.86,83,-0.0219,0.087,0.118
91.875,83,-0.0219,0.087,0.118
91.89,82.8,-0.003,0.1085,0.1257
91.905,82.8,-0.037,0.0971,0.1372
91.92,82.1,-0.1254,0.0875,0.1196
91.935,82.1,-0.1254,0.0875,0.1196
91.95,82.1,0.0488,0.0854,0.1106
91.965,82.1,0.0692,0.0783,0.1218
91.98,82.1,0.0692,0.0783,0.1218
91.995,82.1,-0.0057,0.0478,0.0862
92.01,82.6,0.0511,0.0115,0.0727
92.025,82.6,0.0511,0.0115,0.0727
92.04,82.6,-0.033,-0.1136,0.0611
92.055,82,-0.0257,-0.0954,0.06
92.07,82,0.2718,-0.1288,0.0636
92.085,81.4,0.2718,-0.1288,0.0636
92.1,81.4,-0.0851,-0.028,0.0785
92.115,81.4,-0.0567,0.0948,0.0529
92.13,80.7,-0.0343,0.0522,0.0753
92.145,80.7,-0.0343,0.0522,0.0753
92.16,80.7,-0.0343,0.0522,0.0753
