Left	1.653	8.429
Left	1.750	12.918
Left	1.897	14.196
Left	2.088	14.278
Left	2.262	17.707
Left	2.386	32.144
Right	2.404	50.503
Right	2.416	64.921
Right	2.326	37.458
Right	2.200	23.361
Right	2.089	20.805
Right	1.992	19.418
